zone_id,reach_length_m,elevation_high_m,elevation_low_m,elevation_drop_m,reach_slope
MEL_Z01,3697.77,5061.0,4406.0,655.0,0.177134
MEL_Z02,4270.37,4406.0,3598.0,808.0,0.189211
MEL_Z03,3922.11,3598.0,2917.0,681.0,0.173631
MEL_Z04,3913.6,2922.0,2312.0,610.0,0.155867
MEL_Z05,4181.16,2371.0,1890.0,481.0,0.11504
MEL_Z06,3773.28,1912.0,1571.0,341.0,0.090372
MEL_Z07,4080.61,1580.0,1325.0,255.0,0.062491
MEL_Z08,4172.67,1328.0,1147.0,181.0,0.043378
MEL_Z09,3846.76,1164.0,1022.0,142.0,0.036914
MEL_Z10,4104.94,1038.0,915.0,123.0,0.029964
MEL_Z11,3993.03,922.0,849.0,73.0,0.018282
MEL_Z12,1931.37,859.0,813.0,46.0,0.023817
