zone_id,mean_susceptibility,max_susceptibility,impacted_cells,total_cells,historical_impact_rate
MEL_Z01,0.41483402,0.9981357,133,388,0.3427835051546392
MEL_Z02,0.7679018,0.9971118,119,189,0.6296296296296297
MEL_Z03,0.717336,0.99696785,226,390,0.5794871794871795
MEL_Z04,0.4019499,0.9874313,107,457,0.23413566739606126
MEL_Z05,0.15061544,0.9240485,20,384,0.052083333333333336
MEL_Z06,0.13253544,0.96251357,26,424,0.06132075471698113
MEL_Z07,0.096829355,0.92867994,21,464,0.04525862068965517
MEL_Z08,0.09188459,0.9395116,19,485,0.03917525773195876
MEL_Z09,0.090960346,0.93647647,27,514,0.05252918287937743
MEL_Z10,0.10224195,0.90507,27,484,0.05578512396694215
MEL_Z11,0.054888435,0.81899863,5,406,0.012315270935960592
MEL_Z12,0.12699597,0.77656144,2,46,0.043478260869565216
