zone_id,mean_susceptibility,max_susceptibility,impacted_cells,total_cells,historical_impact_rate,susceptibility_class
MEL_Z01,0.4735345317661916,0.9972665929919404,133,388,0.3427835051546392,MODERATE
MEL_Z02,0.7810883086337909,0.9966227222508327,119,189,0.6296296296296297,HIGH
MEL_Z03,0.7259657052146276,0.9975814248817421,226,390,0.5794871794871795,HIGH
MEL_Z04,0.4334585382237969,0.9875119172133945,107,457,0.23413566739606126,MODERATE
MEL_Z05,0.1865387174157016,0.9210901318964976,20,384,0.052083333333333336,LOW
MEL_Z06,0.16164147871888515,0.9178204515182862,26,424,0.06132075471698113,LOW
MEL_Z07,0.11985578320794182,0.8966529895873244,21,464,0.04525862068965517,LOW
MEL_Z08,0.12271355973869116,0.9122171399879316,19,485,0.03917525773195876,LOW
MEL_Z09,0.116721490109103,0.8762902874501683,27,514,0.05252918287937743,LOW
MEL_Z10,0.1386610096895661,0.8194050987278735,27,484,0.05578512396694215,LOW
MEL_Z11,0.077568848102506,0.7143251185201205,5,406,0.012315270935960592,LOW
MEL_Z12,0.17828565253761428,0.7188851213686782,2,46,0.043478260869565216,LOW
